RADICAL,HZCNT,INHZ
忄,127,情性快怕惊怀怪慢忙懂惯恨恰忆恢悄忧愤惜惨怜惧慌悟恼恒慎怖悔惟愉悦怔慨懒愣憾愧惶怯怡恍憎懈惕愕慷惭悼悯慑忖悍悖懦忏懊恤恃惚惰忡忱惺怅惘恺悴恪憔悚悸愫惋惮憧怦悻憬恬惴惦懵恻惬惆恫怆忻怏恸愠怵愎恽懔怩慵忸悌忾忤恂恹忪悭愀怄悒慊怛怙怫愦憷悱悝悛怃怿忉怍惝悃忮忭怊
釒,117,鎗鈤鎯鍏鉁銧鐣鐻鎭鋹鋵鈨鑨鎌鉄鐏鉏錞钃鍊鋊鋾鐇鈇鑟釛鈱鈶鍦鏏鑕鋐鉐鍧鍼鏦銶釢鉃鍎鏂鐰鑛鍑鏉鏕録鍮鍸鋋鏁鏭鐄釟釠鉂銊鋭錃鏆鐖鑱釱錣鑢鉔鈙鎋鑀鏻鋕鎚銝鐴鑵鈪鐍鑮釭銌鋂鋎鍐鎴鎸鑘釪鈵銒銙鋺錗錥鍓鍟鎍鐎鐤鏍鏽鈡釥鈂鋷鐬鑴鈖鉼錋鎝釿鏸鉽錧鍚鍱鑪
衤,110,被初补袖裕裤衫裸袍裙衬褐襟袜褂褪袱褥袄袒衹褶褚裆裨褛褴袂衲衩裱褡褓襁袢裢裰袷裾裥褫裉衽裼衿裎袼裣褊褙袴襻褔襦袪袝袓袆袊袛袣袧裈袉襕袑襢袩褯袚褋袥襍裀襱袀袐袵裯褵襆裲袿袇袔袦袨衼褦襶袗襬褹袕裋裩襫裓褑褠襛袟袽裶裺衸袘褨襘襌
冖,101,学當军軍常受觉带帶臺爱愛党黨写营帝劳勞索亮毫掌堂旁荣蒙侵赏豪尝牵冠亭罕叠浸冤棠壶莹冥寝冢裳莺舜荧萤帚冗嚏萦孛橐蠹壹荥毂鲎赍幂彀觳亳茔喾薨泶荦锓爨茕璺骎蓥縠瞢甍黉駸鮼禜肻祲鷇鼏隺鸴糓綅罙膋藀虋罃覚舋礐豰賷
疒,95,病痛疗症疾疯疼疲疫癌瘦痕瘤痴痒瘫癫痰疤疮痪疚疹瘾瘟痹痉疙瘩痊癖瘢痔疣瘪瘸疵瘠痫癣痞痘痢疱痣疟瘀疽癞瘁瘴癜疸痿瘙痨痂痤痈疥瘛瘘疝痼痍疖癯瘿痱疴痧疠癔疳瘌疔瘰疬瘗癍瘐瘥瘵癃瘳瘕痦瘼瘅瘊痖疰痄痃癀
丨,93,个中上声师師候击流官断引半责責举屬继素占修追释介临旧毒泽择丰桌译弗荒奉眉乔卢遣串疏卓薛渊贞貞陋丫梳硫倏琉毓绎侃睿攸犀敖驿铎叟壑醯氘峄卣亓堇畀旒锍耜巯怿脩篠翛艈菫詤腗鞗肻糱蠥県逓鯈酼鴭眞蓧
丶,93,會於学当當主將应常义太区光求觉术令党黨曾尽希兴杀夜疑压户丽良监監临尚掌予堂凡尤赵寒凶冬梁赏锁尝匆鉴恭斥倉览慕肖冈甫叉兔丸棠刃琐枣裳勺搀乓肴粱戍馋甬氐谗卞忝刈鲎囟佥隳喾泶唢犮郄黉鸴鍳萈脳覚
糹,92,約緩綿繻綝藴絁紬繸紤絽絅纁絼綎絪綖緛縿縡繐絃絺絿綼紩紖綍縕繨繟絙纄紃緌絏纕緷繉繙綟繑纑綵紏繌絾絟緺縩綂縼縂綡綶繧繬纃纒纗縜紣絍縆繀緅緍糺紭紾絶綅繂繣紻繖纀綀綄綊綒綗緰繜繝縪紘絒絓緤緵縚
礻,75,神社视福礼祖祝祥祸禧禅禄祈祷祀祠祁祺祯祛祗祐祉祚祜禳祕禇祢祆祎祧祏祓禊祂禛祫祼禋祔祪禘禠禬禫祦祋禃禢禥祃祲祻祅禭禤礽祾禌禔禞祤禩祙祳祰祹禐禖禵禗礿祩禨
宀,74,家实它安完字官容寫察害客室宗富审宣守宝宫宋宁寧赛塞宽寬宇宜寒灾宙宪宾寄牢寂宿宏宅宰宴寓寡寨宠宛寇寞寝贮宦寥宵寅寐寰伫宕宓宸寮宥骞謇蹇苎宄寤褰搴纻蔲鴧
訁,73,讉譞謴訉讟詾訢蔎諹誖訄訙謿訚譢訒讝諥諝譟詥詝謱藷詤譓誳諆訋詻譃譄謏詯誴諓謧謪譁訆訏訽詨訅讈訑詸謥謟讙詗詪諈讌譅譌詅詇誻誽謡訡訮証詷詺諘謸讛訹詄詀訞
丷,72,前关并並美产義平总南单商曾半屬帝率兰益善养弟幸旁盖券兽腾夹兹拳函遂伞脊姜兑丫凿羡眷敝酋犀羔豢恙釜啬滕羲邃罔夔誊塍媵鲞羑賸螣蕂罁鰧竒羕臯絭菐軣眘羙
犭,69,独获狂猛犹狗狱猜狠猫猎狼猪猩狭猴狮狄猿狐狡狸猾狈狩狒猝猖狞狙獗猓狰猥獾獭猬犷獠狻猕獐獯獬狎狷狯猢狲狍犸猗猊獍猡狺猞猁犴猱狁狴犰狳狃猹猃猸狨
刂,58,到利制别则列划刻刚创判刘副剑剧刺刑罚刊剩剂割削刷剥刹刮剖荆剿删浏剔剃钊剌刨刽蓟剽剁剜刈剐蒯刎刖刿剀剡劂劁刳劓劐剞刭矵
亠,46,高产市交流商离六京育帝脑夜充亮毫旁弃享豪恼疏亭亨亩卒梳硫禀琉毓亢雍醯兖亳垴旒锍巯亶艈綂竒酼醕
饣,46,饭馆饮饰饿饲饱饥饶饼蚀馈饷饵馒饺饬馅馋馍馁馀馐饨馕馑饽饪馄饯馏馊馔饫饩馓饴馃馇饾饸馂馉饤饳饻
罒,42,德罗置罪買罚曼罢罷署罩愣蔑蜀楞羁罡罹詈篾罘罟罱薨罾罨塄瞢罽罣甍罶聴睪羇禤罯罥罼羉罝瞏
厶,40,能么去公台流离参參育云县私弃允丢疏勾矣垒弘梳硫牟琉毓篡叁醯弁夋畚旒锍巯贠艈絫軬酼
囗,35,国會因回四团曾图围临困固园圆圈囚粤圃囱囤囿囡囫囟圜囵囹圄卣囝圉溷囷圊薗
乚,35,化电帶流乱礼孔扎乳疏甩梳硫屯琉毓叱札尧轧羌辄胤虬醯乩旒锍巯钆艈耴篭糺酼
夂,34,处各条务愛备复夜修夏冬隆倏惫赣囱稷谡夔夋夌脩翛艐鞗夆竷糉夐鍐鯈鬉騣緵
彳,33,得很德往復律微待征徒彻役彼径徐御循徽徊徘徙徇徨徕徭屐徉徜徼徂屦衛藢
灬,31,無点照寫热烈熟杰焦燕熊煞蒸熙煮熬煎庶焘烹羔熹煦罴隰黒舄麃賮礘篜
冫,25,次决准况冷冲减弱冰净凉凝冯凌冻凑凄匀冶凛凋冽凇冼冱
糸,25,系紧素索繁累紫徽紊絮纂彝萦綦縻絜綮縠絷絫繤絭繋繴羉
コ,24,師争官追妻侵遣薛浸寝秉尹庚卣锓耜骎駸鮼祲糱蠥綅鴭
冂,23,同两向制内南离周丽奥扁冈侖甩嗣睿奂壑罔髥罁逓夐
勹,23,寫包句黎勾旬匈勿甸蜀匀勺匍匐曷訇黧舄匊齺蒭鯬菞
爫,22,受爱愛摇遥妥淫谣觅瑶舜奚孚鹞舀爰徭繇鳐飖稲謡
飠,22,餂餗饘餖餦餁飳餆饟餚飮飰餇饐飦飥饆饝飷餀饡餫
乛,20,了將尔争令负疑买敢予衡壽詹丞奂甬刍㲋夐穐
ス,17,经轻径劲颈氢茎痉胫泾迳烃羟陉巯硁刭
牜,17,物特牧牲牺牡犊犄犒牝牦牯犍牾犋犏牿
廾,16,开算异升弄弃戒葬弊莽卉彝弈弁羿舁
虍,16,虑虚盧虏虐虔虞豦藘虗虖虙鑢虘艣鬳
叚,14,假霞暇瑕遐嘏葭鰕瘕麚豭貑腵睱
昷,13,温瘟氲愠媪韫藴鳁缊腽辒蝹醖
尞,13,僚撩缭潦燎镣寮獠嘹鹩膫蹽竂
凵,12,出击画凶函凿屯凼墼蟿齢礊
彐,12,当灵录妇寻雪扫彗帚刍鄩蟳
冋,11,高尚喬炯迥扃絅苘诇駉詗
匋,11,陶萄掏淘啕绹鋾蜪醄祹騊
卩,10,报却服节卫爷叩疖赧缷
尃,10,博傅搏膊缚溥赙髆镈蒪
覀,9,要票贾栗粟覃覂覇覊
丬,9,将状奖壮浆妆寝桨酱
丂,9,号考巧亏朽兮粤羲甹
〢,9,紧坚监临鉴览贤肾竖
厷,9,雄宏竑肱闳纮郄翃紘
屮,8,出蚩雟齺糱蠥蒭艸
氺,8,求录暴泰黎漆膝滕
冏,8,商裔矞觿雟纗綗鑴
疋,8,疑楚旋蛋疏胥嚏蜁
臽,8,陷焰阎掐馅谄萏鹐
冓,8,篝媾鞲觏遘耩簼褠
垔,7,甄湮鄄堙禋闉陻
寽,7,捋虢锊埒酹脟蛶
爿,6,將寐奘戕寤鼘
朩,6,条亲杀余杂茶
卄,6,共散扁侖昔嗣
丩,6,收叫纠赳訆觓
卂,6,迅讯汛茕軐谻
啇,6,滴摘嘀嫡谪镝
耂,5,者考孝耇耊
夅,5,降绛逄洚竷
镸,5,套肆蕻隂镻
夗,5,怨宛苑鸳眢
疌,5,捷睫婕脻蜨
亅,4,了争予丁
肀,4,畫唐庸賮
屰,4,逆厥朔阙
癶,3,發登癸
乂,3,义更艾
廴,3,建延廷
ユ,3,候侯夬
戉,3,越钺魆
彑,3,互彝彘
歺,3,餐粲韰
爲,3,鄬譌蔿
丣,3,駵籒羀
卌,2,無舞
弔,2,第弟
冃,2,冒冕
毌,2,贯貫
夊,2,傻繌
亾,2,曷詤
眔,2,鳏遝
幹,2,擀簳
丏,2,沔眄
從,2,磫鏦
氾,1,范
乑,1,聚
巸,1,熙
歨,1,徙
巜,1,粼
賓,1,蠙
刄,1,靱
