MITI,NANDU,MIGE,TISHI,JIEMI,MIDI,FAYIN,JIESHI,ZAOJU
金鸡报晓不待催,6,粉底格,根据谜题意思以及引申义联想、合成,说不待催，那是因为鸡自己知道它是打鸣的，即自知之鸣，由于粉底格，可得自知之明,自知之明,zì zhī zhī míng,自知：自己了解自己；明：看清事物的能力。指了解自己的情况，对自己有正确的估计。,一个严于解剖自己的人，往往是有～的。
旅行家,7,灯谜,根据人物特点以及字词相关义联想,一般都是到哪里就暂时安家在哪里的，可解为随遇而安,随遇而安,suí yù ér ān,随：顺从；遇：遭遇。指能顺应环境，在任何境遇中都能满足。,不过能够～——即有船坐船云云——则比起幻想太多的人们来，可以稍为安稳，能够敷衍下去而已。（鲁迅《两地书》六）
前面是悬崖,3,谜语·灯谜,根据所描述景象以及近义联想,也就是前面没有路了，可以解为穷途末路,穷途末路,qióng tú mò lù,形容到了无路可走的地步。,对～拒不投降的敌人，我们要全部地消灭。
做东,4,谜语,根据谜题意思以及近义联想,地主之谊有类似意思,地主之谊,dì zhǔ zhī yì,地主：当地的主人；谊：义务。住在本地的人对外地客人的招待义务。,晚生得蒙青目，一日～也不曾尽得，如何便要去？（清·吴敬梓《儒林外史》第二十二回）
船长与船员,1,谜语,根据谜题意思联想,可以联想为遇到风雨二者也是一条船的，解为风雨同舟,风雨同舟,fēng yǔ tóng zhōu,在狂风暴雨中同乘一条船，一起与风雨搏斗。比喻共同经历患难。,他俩是患难与共，～的战友。
车同轨,7,灯谜,根据谜题字词近义以及引申义联想、合成,轨可以解为车辙，同可解为重走，于是可解为重蹈覆辙,重蹈覆辙,chóng dǎo fù zhé,蹈：踏；覆：翻；辙：车轮辗过的痕迹。重新走上翻过车的老路。比喻不吸取教训，再走失败的老路。,要从失败中吸取教训，以免～。
做顺手人情,4,谜语,根据谜题意思以及近义联想,借花献佛有类似意思,借花献佛,jiè huā xiàn fó,比喻用别人的东西做人情。,今儿有人送极新鲜的山鸡，烫了吃，很好的，我就～了。（清·刘鹗《老残游记》第六回）
旱灾,3,谜语,根据谜题意思联想,旱魃为虐即指旱灾,旱魃为虐,hàn bá wèi nüè,旱魃：古代传说中能赞成旱灾的怪物；虐：灾害。指旱灾。,而地震之后，雾气白浊，日月不光，～，大贼从横，流血丹野，庶品不安，谴诫累至，殆以奸臣权重之所致也。（《后汉书·皇甫规传》
项羽离妾,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,霸王别姬,bà wáng bié jī,形容英雄末路的悲壮情景。,毛泽东《在中央扩大工作会议上的讲话》：“不是有一出戏叫‘～’吗？这些同志如果总是不改，难免有一天要‘别姬’就是了。”
牛羊成群,6,灯谜,根据字的拆分、组合以及字词近义联想、合成,牛即丑，牛羊即羞字，成群即成为队伍，于是可解为羞与为伍,羞与为伍,xiū yǔ wéi wǔ,羞：感到羞耻；与：跟；为伍：作伙伴。比喻把跟某人在一起认为是可耻的事。,如果人人都～，请客、送礼之风也就会销声匿迹了。
最大的隐患,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,心腹之患,xīn fù zhī huàn,心腹：比喻要害。比喻隐藏在内部的严重祸害。也泛指最大的隐患。,大家都这么想，这个～一天不除，就一天不得安宁。
最寒酸的人,2,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,捉襟见肘,zhuō jīn jiàn zhǒu,拉一拉衣襟，就露出臂肘。形容衣服破烂。比喻顾此失彼，穷于应付。,平时所过的早就是～的生活，更那有什么余钱来做归国的路费呢？（郭沫若《学生时代·创造十年》）
太子惹不得,6,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,太子即皇后生的，惹不得解为可怕、可畏，于是解为后生可畏,后生可畏,hòu shēng kě wèi,后生：年轻人，后辈；畏：敬畏。年轻人是可敬畏的。形容青年人能超过前辈。,～，非虚言也。（宋·朱熹《寄陈同甫书》十二）
最后一名马拉松赛运动员,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,不耻最后,bù chǐ zuì hòu,因为跑到最后而感到可耻。比喻凡是只要坚持到底，就能达到目的。,记得韩非子曾经教人以竞马的要妙，其一是‘～’。（鲁迅《华盖集·补白》）
最急于表现的人,2,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,越俎代庖,yuè zǔ dài páo,越：跨过；俎：古代祭祀时摆祭品的礼器；庖：厨师。主祭的人跨过礼器去代替厨师办席。比喻超出自己业务范围去处理别人所管的事。,孩子能做的事，父母不要～。
望乡台上唱山歌,7,灯谜,根据谜题字词相关义以及引申义联想、合成,望乡台指阴间，都进阴间了还在唱歌，可见不知死活,不知死活,bù zhī sǐ huó,形容不知利害，冒昧从事。,彼时日色将晚，前无行人，就把他尽力一推，推落崖下，～。（明·凌濛初《初刻拍案惊奇》卷三十）
双手赞成,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,多此一举,duō cǐ yī jǔ,指多余的，没有必要的举动。,问起北京人来，只知道《三侠五义》，而南方人却只见有曲园老人的改本，此老实在可谓～。（《鲁迅书信集·致胡适》）
蚂蚁撼树,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,纹丝不动,wén sī bù dòng,一点儿也不动。形容没有丝毫损坏或改变。,尽管风狂雨暴，排列在人民大会堂前的三军仪仗队员仍是持枪挺立，～。
樊瑞,4,谜语·灯谜,根据人物别称联想,水浒传人物，绰号混世魔王,混世魔王,hùn shì mó wáng,比喻扰乱世界、给人们带来严重灾难的人。有时也指成天吃喝玩乐、到处胡闹的有钱有势人家的子弟。,多谢戮力同心，拽倒十余年～。（《晚清文学丛钞·新罗马·会议》）
电视教学,6,谜语·灯谜,根据所描述事情发生时人物反应联想、合成,也就是看过后学习，即得以观后效,以观后效,yǐ guān hòu xiào,后效：以后的效果。指将罪犯从轻处分，再看他以后的表现。,蒋中丞人尚忠厚，因见两司代为求情，亦就答应暂时留差，～。（清·李宝嘉《官场现形记》第四十八回）
当,4,灯谜,根据字的拆分以及结构联想、合成,光天即光字上半部分，化日解为融化掉日字左侧部分，合一起为当字，解为光天化日,光天化日,guāng tiān huà rì,光天：最大的天，大白天；化日：生长万物的太阳。原形容太平盛世。后比喻大家看得非常清楚的场合。,彼残忍乖邪之气，不能荡溢于～之下。（清·曹雪芹《红楼梦》第二回）
儿戏,1,谜语·灯谜,根据谜题字词近义联想、合成,也就是小孩子的打闹玩耍，可以解为小打小闹,小打小闹,xiǎo dǎ xiǎo nào,形容小规模地开展工作,路遥《平凡的世界》第二卷第44章：“到时，就不能～，得干一件有震动性的工作才行！”
跅,5,灯谜,根据字的拆分以及结构联想、合成,跅字可拆为足、斥，斥即训，不足为训为跅字,不足为训,bù zú wéi xùn,足：够得上；训：法则，典范。不值得作为效法的准则或榜样。,孝琪的行为虽然～，然而他的议论思想也有独到处，这还是定庵的遗传性。（清·曾朴《孽海花》第四回）
鹊巢鸦占,3,谜语·灯谜,根据谜题字词近义以及相关义联想,也就是喜鹊的巢变化成了乌鸦的，可以解为化为乌有,化为乌有,huà wéi wū yǒu,乌有：哪有，何有。变得什么都没有。指全部消失或完全落空。,岂意青州六从事，～一先生。（宋·苏轼《章质夫送酒六壶，书至而酒不达，戏作小诗问之》诗）
鲤鱼跳龙门,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,身价百倍,shēn jià bǎi bèi,身价：指社会地位。指名誉地位一下子大提高。,她刚刚唱了几支歌，赢得了一些掌声，但一见报，马上就～，似乎成了歌星了。
瀑布,3,谜语·灯谜,根据所描述景象联想、合成,有诗言“飞流直下三千尺，疑是银河落九天”，瀑布即银河，于是可解为银河倒泻,银河倒泻,yín hé dào xiè,泻：水从高处往下直流。象银河里的水倒泻下来。形容雨下得极大，象泻下来的一样。,果然是～，沧海盆倾，好阵大雨！（明·冯梦龙《警世通言》卷十四）
出城会朋友,4,粉颈格,根据谜题字词近义以及相关义联想、合成,出城解为打开城门，会即见面，可得开城相见，由于粉颈格，解为开诚相见,开诚相见,kāi chéng xiāng jiàn,开诚：敞开胸怀，显示诚意。形容待人诚恳，显示出真心实意。,双方代表～，就两方面合作事宜达成了一致。
黄盖献计,9,谜语·灯谜,根据人物故事以及字词近义联想、合成,可以想到周瑜打黄盖的苦肉计，也就是说黄盖献计等于自己吃苦，了解为自讨苦吃,自讨苦吃,zì tǎo kǔ chī,讨：招惹。自己找苦吃。,可是我有一种毛病，自己也疑心是～的要苗，就是偶尔要想想。（鲁迅《华盖集·“碰壁”之后》）
吃核桃,3,谜语·灯谜,根据所描述事情的动作形象联想,需要一个一个的敲击破掉才能吃，可以解为各个击破,各个击破,gè gè jī pò,各个：逐个；击：攻。军事术语。指利用优势兵力将被分割开的敌军一部分一部分消灭。有时也比喻将问题逐个解决。,集中红军相机应付当前之敌，反对分兵，避免被敌人～。（毛泽东《中国的红色政权为什么能够存在》）
船到码头车到站,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,停滞不前,tíng zhì bù qián,滞：滞留。停止下来，不继续前进。,社会是发展的、进步的，决不会～，或者倒退。
外国,2,谜语,根据谜题意思联想,海外扶余即指外国,海外扶余,hǎi wài fú yú,指遥远的外国,他身处～。
将领听从军师,7,泄白格,根据人物特点以及字词相关义联想、合成,军师说的都是计策，自然要听从，由于泄白格，有一字相同，可解为言听计从,言听计从,yán tīng jì cóng,听：听从。什么话都听从，什么主意都采纳。形容对某人十分信任。,邓对于他也就和刘玄德之于诸葛孔明，几几乎是～的。（郭沫若《革命春秋·北伐途次》二十六）
云消风息,5,谜语·灯谜,根据谜题字词别称以及近义联想、合成,云从龙，风从虎，消息解为藏卧，即得藏龙卧虎,藏龙卧虎,cáng lóng wò hǔ,指隐藏着未被发现的人才，也指隐藏不露的人才。,这所大学～，人才济济。
婚姻是男人的坟墓,4,粉颈格,根据谜题字词别意以及近义联想、合成,坟墓可以解为死亡、灭亡，婚姻男人解为自己娶的，即自娶灭亡，由于粉颈格，可得自取灭亡,自取灭亡,zì qǔ miè wáng,所作所为把自己引上绝路。,倭兵犯顺，～。（清·陈忱《水浒后传》第三十五回）
对准,5,灯谜,根据字的拆分以及结构联想、合成,对、准均可拆为左右两部分，对左为又，准右为隹，即左右为难,左右为难,zuǒ yòu wéi nán,左也不好，右也不是。形容无论怎样做都有难处。,千思万想，～ 。（清·曹雪芹《红楼梦》第一百二十回）
散板,10,灯谜,根据所描述事物特点以及字词相关义、引申义联想、合成,也就是一种速度缓慢节奏不规则的自由节拍，可解为不拘小节,不拘小节,bù jū xiǎo jié,拘：拘泥。不为小事所约束。多指不注意生活小事。,此人廓达之才，～。（明·冯梦龙《东周列国志》第十八回）
八大王,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,完美无缺,wán měi wú quē,完善美好，没有缺点。,世界上根本不存在～的东西。
乱扣帽子,4,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,也即是把别人的或者不正确的帽子戴在了另外的人头上，可以解为张冠李戴,张冠李戴,zhāng guān lǐ dài,把姓张的帽子戴到姓李的头上。比喻认错了对象，弄错了事实。,但老船夫却作错了一件事情，把昨晚唱歌人“～”了。（沈从文《边城》十四）
小说内容概要,5,灯谜,根据谜题字词别意以及近义联想、合成,小解为微，说解为言，概要解为大致含义，即得微言大义,微言大义,wēi yán dà yì,微言：精当而含义深远的话；大义：本指经书的要义，后指大道理。包含在精微语言里的深刻的道理。,他们解经，只重～；而所谓～，其实只是他们自己的历史哲学和政治哲学。（朱自清《经典常谈·尚书第三》）
训,4,灯谜,根据字的拆分、组合以及字词近义联想、合成,训字拆为言、川，言解为口，川即河，于是可解为口若悬河,口若悬河,kǒu ruò xuán hé,讲起话来滔滔不绝，象瀑布不停地奔流倾泻。形容能说会辨，说起来没个完。,知县见他说的～，又是本朝确切贼，不由得不信。（清·吴敬梓《儒林外史》第四回）
伯牙悼子期,4,谜语·灯谜,根据所描述事情的原因联想、合成,可以想到人死了，琴也不复存在了，解为人琴俱亡,人琴俱亡,rén qín jù wáng,俱：全，都；亡：死去，不存在。形容看到遗物，怀念死者的悲伤心情。,鲁迅《二心集·做古人和做好人的秘诀》：“所谓‘～’者，大约也就是这模样的罢。”
辫子功,4,谜语·灯谜,根据所描述事物的作用以及近义联想、合成,辫子自然是长在身后的头发，武功肯定是用来制服敌人的，即得后发制人,后发制人,hòu fā zhì rén,发：发动；制：控制，制服。等对方先动手，再抓住有利时机反击，制服对方。,秦晋淝水之战等等有名的大战，都是双方强弱不同，弱者先让一步，～，因而战胜的。（毛泽东《中国革命战争的战略问题》）
县太爷斗鸡玩狗,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,不务正业,bù wù zhèng yè,务：从事。指丢下本职工作不做，去搞其他的事情。,在那时候他们是被骂为～的青年，但没人知道当时的社会已无青年们可务的正业。（郭沫若《少年时代·我的童年》）
仰泳决赛,5,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,仰泳解为背着水的游泳，决赛解为一场战斗，可得背水一战,背水一战,bèi shuǐ yī zhàn,背水：背向水，表示没有退路。比喻与敌人决一死战。,我军下定了～的决心，终于杀出了敌人的重重包围。
九寸,5,灯谜,根据字的拆分以及结构联想、合成,寻根即寸，究底即九，于是可解为寻根究底,寻根究底,xún gēn jiū dǐ,追求根底。一般指追问一件事的原由。,这个学生对学习有股钻劲，什么问题都想～。
最顺利的时候,2,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,万事如意,wàn shì rú yì,如意：符合心意。一切都符合心意，很顺利,路遥《平凡的世界》第六卷第38章：“我只说：愿年轻人～！”
包揽6个冠军,3,谜语·灯谜,根据谜题字词近义联想、合成,也就是怀有六个第一，第一解为甲，可得身怀六甲,身怀六甲,shēn huái liù jiǎ,六甲：传说为上帝造物的日子。指妇女怀孕。,偏偏媳妇～，好容易逃至海外，生下红蕖孙女，就在此处敷衍度日。（清·李汝珍《镜花缘》第十回）
最尖的针,2,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,无孔不入,wú kǒng bù rù,孔：小洞。比喻有空子就钻。,帝国主义对其殖民地的经济掠夺是～的。
嘴巴挂镢头,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,笨口拙舌,bèn kǒu zhuō shé,没有口才，不善言谈,她～，说不出两句话
卢生遇吕道士,7,谜语·灯谜,根据人物故事以及字词近义联想、合成,出自《枕中记》，卢生即黄粱一梦主角,黄粱一梦,huáng liáng yī mèng,黄粱：小米。比喻虚幻不能实现的梦想。,应举不第，道经邯郸，得遇正阳子师父，点化～，遂成仙道。元·范康《竹叶舟》第一折
船上讨论会,3,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,也就是边泛舟边谈论，可解为泛泛而谈,泛泛而谈,fàn fàn ér tán,泛泛：平常，不深入。一般地浮泛地谈谈。,也由于时间关系，不能把《青春之歌》重读一遍然后执笔，故而只能～，不能引证原文作具体的分析。（茅盾《怎样评价〈青春之歌〉》
飞泉挂碧峰,4,谜语·灯谜,根据所描述景象以及字词近义联想、合成,诗句意思是白色的瀑布高挂在碧绿的山峰，可解为高山流水,高山流水,gāo shān liú shuǐ,比喻知己或知音。也比喻乐曲高妙。,孔圣人尚学琴于师襄，一操便知其为文王。～，得遇知音。（清·曹雪芹《红楼梦》第八十六回）
垄,7,灯谜,根据字的拆分、组合以及别称联想、合成,垄字可拆为龙、土，云从龙，土可解为泥土，即得判若云泥,判若云泥,pàn ruò yún ní,高低差别就象天上的云彩和地下的泥土那样悬殊。,张平《抉择》：“才发觉眼前的这一切同他所想象的竟是这样的～、天悬地隔！”
龙虾大家都认得,6,灯谜,根据谜题字词别意以及近义联想、合成,龙虾即海鲜，大家都认得即为人知，可以解为鲜为人知,鲜为人知,xiǎn wéi rén zhī,鲜：很少。很少被人知道,刘玉民《骚动之秋》第四章：“而银屏，则是～的岳飞的女儿的名字。”
山海难量,1,谜语·灯谜,根据谜题字词近义联想、合成,山高海深，无法测量，可解为高深莫测,高深莫测,gāo shēn mò cè,高深的程度无法揣测。形容使人难以理解。,他说话常故弄玄虚，使人感到～。
诸侯,9,灯谜,根据人物特点以及字词相关义联想,诸侯的特点就是各霸一方,各霸一方,gè bà yī fāng,各：各自；霸：强横占据。指凭借势力各自称霸一个地方,陶菊隐《北洋军阀统治时期史话》第43章：“他们～，形成‘国中之国’，省政府无权过问。”
罚酒三杯,6,谜语,根据谜题意思联想及典故联想,晋·石崇《金谷诗序》:“遂各赋诗，以叙中怀，或不能者，罚酒三斗”，金谷酒数为罚酒三斗的隐语,金谷酒数,jīn gǔ jiǔ shù,罚酒三斗的隐语。旧时泛指宴饮时罚酒的斗数。,诸位是有能诗的，各自做来；如不能者，罚依～。（清·陈忱《水浒后传》第四十回）
旧时见面礼,1,谜语·灯谜,根据所描述景象联想、合成,古人见面礼一般是躬身作揖，解为打躬作揖,打躬作揖,dǎ gōng zuō yī,拱、揖：两手合抱致敬。弯身报拳行礼。表示恭敬顺从或恳求的样子。,宝玉见他这样，还认作是昨日晌午的事，那知晚间的这件公案，还～的。（清·曹雪芹《红楼梦》第二十七回）
弃车马保主帅,6,谜语·灯谜,根据所描述事情的原因联想、合成,可以想到这么做是为了顾全大局,顾全大局,gù quán dà jú,指从整体的利益着想，使不遭受损害。,我们要坚持真理，～。
刀,5,灯谜,根据字的拆分以及结构联想、合成,初字可拆为衣、刀，初露锋芒即为刀,初露锋芒,chū lù fēng máng,比喻刚开始显示出力量或才能。,他在这次比赛中～，夺得第一名。
锻件,5,灯谜,根据所描述事物特点联想、合成,锻件是指通过对金属坯料进行锻造变形而得到的工件，可以联想为千锤百炼而得到,千锤百炼,qiān chuí bǎi liàn,比喻经历多次艰苦斗争的锻炼和考验。也指对文章和作品进行多次精心的修改。,诗家好作奇句警语，必～而后能成。（清·赵翼《瓯北诗话》卷一）
好经念给聋施主,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,白费口舌,bái fèi kǒu shé,谈话一无所获,他说这么多真是～。
亡,6,灯谜,根据字的拆分、组合以及字词近义联想、合成,妄字拆为亡、女，女即雌，黄解为黄了、没了，妄下即女，妄下雌黄即亡字,妄下雌黄,wàng xià cí huáng,乱改文字，乱发议论。,你这种～，扰乱人心的行为应该受到批评。
笔底生花满庭芳,3,谜语·灯谜,根据谜题字词近义联想、合成,笔、花可解为书香，庭可解为门户、门第，于是可解为书香门第,书香门第,shū xiāng mén dì,旧时指上辈有读书人的家庭。,她每天一想到自己出身于～，哥哥是个举人，却落入贼人之手，已够丢尽了祖宗的人。（姚雪垠《李自成》第一卷第十七章）
若,6,灯谜,根据字的拆分、组合以及字词近义联想、合成,诺字可拆为言、若，诺可解为约定，于是可解为一言为定,一言为定,yī yán wéi dìng,一句话说定了，不再更改。比喻说话算数，决不翻悔。,你我～。只是我信不过二弟，你是萍踪浪迹，倘然去了不来，岂不误了人家一辈子的大事？（清·曹雪芹《红楼梦》第六十六回）
异,7,灯谜,根据字的拆分、组合以及别称联想、合成,异解为巳、草，巳即蛇，打草惊蛇即异字,打草惊蛇,dǎ cǎo jīng shé,原比喻惩甲菟乙。后多比喻做法不谨慎，反使对方有所戒备。,空自去“～”，倒吃他做了手脚，却是不好。（明·施耐庵《水浒全传》第二十九回）
明月照戈壁,4,灯谜,根据谜题字词别意以及形状联想、合成,明月为圆形，可解为一个盘子，戈壁可以解为都是沙子，即得一盘散沙,一盘散沙,yī pán sǎn shā,比喻力量分散，没有组织起来。,～的军队是打不了胜仗的。
慕容烈,5,灯谜,根据谜题字词别意以及近义联想、合成,慕解为仰慕，容解为容貌，烈解为非常强烈，恨不得早点见到，可以解为相见恨晚,相见恨晚,xiāng jiàn hèn wǎn,只恨相见得太晚。形容一见如故，意气极其相投。,当这次匆匆的采访工作结束之时，笔者油然产生～的感触。
成佛,6,谜语·灯谜,根据所描述事情的原因联想、合成,只有大彻大悟了，才能成佛吧,大彻大悟,dà chè dà wù,彻：明白；悟：领会。形容彻底醒悟。,这一回，得看你是不是～，决心离开下流社会，迈步走进上流社会了。（欧阳山《苦斗》四三）
张飞吃豆芽,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,小菜一碟,xiǎo cài yī dié,指不值得大肆宣扬。形容事情很容易办成,熊召政《张居正》第二卷第29回：“让他调拨三条船给郝老弟用用，还不是～？”
孙悟空的本事,6,灯谜,根据人物特点联想,即七十二变,七十二变,qī shí èr biàn,变化多端的策略、手法和方法,孙悟空有～的本领，你比他更厉害
寿星打哈欠,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,老气横秋,lǎo qì héng qiū,形容老练而自负的神态。现形容自高自大，摆老资格。也形容缺乏朝气。,众人取笑了一回，见新人～的那个样子，便纷纷散去。（清·吴趼人《二十年目睹之怪现状》第七十回）
十二个放心,4,谜语·灯谜,根据数字以及字词近义联想、合成,十二解为四加八，放心可以解为平稳，即得四平八稳,四平八稳,sì píng bā wěn,原形容身体各部位匀称、结实。后常形容说话做事稳当。也形容做事只求不出差错，缺乏积极创新精神。,总而言之，现在倘再发那些～的“救救孩子”似的议论，连我自己听去，也觉得空空洞洞了。（鲁迅《而已集·答有恒先生》）
烧香,8,谜语·灯谜,根据所描述事情的目的以及字词相关义联想、合成,可以想到烧香一般都是拜鬼求神的,拜鬼求神,bài guǐ qiú shén,向鬼神叩拜祈祷，求其保佑。,他老相信那些～的方法会奏效的。
最反常的天气,3,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,晴天霹雳,qíng tiān pī lì,霹雳：响雷。晴天打响雷。比喻突然发生意外的，令人震惊的事件。,冰心《老舍和孩子们》：“这对我是一声～，这幺一个充满了活力的人，怎幺会死呢？”
心头乐滋滋,4,谜语,根据谜题意思以及近义联想,沾沾自喜有类似意思,沾沾自喜,zhān zhān zì xǐ,形容自以为不错而得意的样子。,然而象他那样的人，决不至于让某一件事的胜利弄得～，就此满足。（茅盾《子夜》五）
不打不相识,6,脱帽格,根据谜题字词别意以及近义联想、合成,打可以解为角斗，相识可解为相交，即得角之交，由于脱帽格，加上“总”字可得总角之交,总角之交,zǒng jiǎo zhī jiāo,总角：儿童发髻向上分开的结果童年。指童年时期就结交的朋友。,莫逆交不足恃矣，然～，应非泛泛也。（清·霁园主人《夜谭随录·崔秀才》）
蒋干保曹操,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,各为其主,gè wèi qí zhǔ,各人为自己的主人效力。,徐茂公，你放手，往日咱两个是朋友，今日～也。（元·尚仲贤《单鞭夺槊》第三折）
曹瞒兵败走华容,6,谜语·灯谜,根据所描述事情以及人物联想、合成,三国经典片段，曹操的性命实际上都交给关羽了，可解得性命交关,性命交关,xìng mìng jiāo guān,交关：相关。形容关系重大，非常紧要。,洪深《五奎桥》第一幕：“这是乡下人～的事！你还在糊里糊涂，看成这样平常呢。”
刺破青天锷未残,9,谜语·灯谜,根据诗句以及字词近义、相关义联想、合成,也就是把天都刺破了刀还没坏，可解为锐不可当,锐不可当,ruì bù kě dāng,锐：锐气；当：抵挡。形容勇往直前的气势，不可抵挡。,那是～，无坚不摧的。（欧阳山《三家巷》八）
残食,4,泄白格,根据谜题字词近义以及相关义联想、合成,食可解为羹、炙，残可解为冷，由于泄白格，可得残羹冷炙,残羹冷炙,cán gēng lěng zhì,指吃剩的饭菜。也比喻别人施舍的东西。,做人不可攀结权贵，靠人施舍，以受～之辱。
化妆品展览,4,谜语·灯谜,根据所描述景象以及相关义联想,自然是粉墨都摆出来了，登场了，即得粉墨登场,粉墨登场,fěn mò dēng chǎng,粉、墨：搽脸和画眉用的化妆品。原指演员化妆上台演戏。比喻坏人经过一番打扮，登上政治舞台。,及至北平攻陷，这些地痞流氓自然没有～的资格与本领，而日本也并未准备下多少官吏来马上发号施令。（老舍《四世同堂》七）
