NAME,PINYIN,HEX,R,G,B,CN
蝶翅蓝,DIECHILAN,#4E7CA1,78,124,161,1
花青,HUAQING,#2376B7,35,118,183,1
星蓝,XINGLAN,#93B5CF,147,181,207,1
虹蓝,HONGLAN,#2177B8,33,119,184,1
柏林蓝,BOLINLAN,#126BAE,18,107,174,1
群青,QUNQING,#1772B4,23,114,180,1
云水蓝,YUNSHUILAN,#BACCD9,186,204,217,1
羽扇豆蓝,YUSHANDOULAN,#619AC3,97,154,195,1
战舰灰,ZHANJIANHUI,#495C69,73,92,105,1
晴山蓝,QINGSHANLAN,#8FB2C9,143,178,201,1
睛蓝,JINGLAN,#5698C3,86,152,195,1
搪磁蓝,TANGCILAN,#11659A,17,101,154,1
潮蓝,CHAOLAN,#2983BB,41,131,187,1
天蓝,TIANLAN,#1677B3,22,119,179,1
大理石灰,DALISHIHUI,#C4CBCF,196,203,207,1
牵牛花蓝,QIANNIUHUALAN,#1177B0,17,119,176,1
宝石蓝,BAOSHILAN,#2486B9,36,134,185,1
淡蓝灰,DANLANHUI,#5E7987,94,121,135,1
嫩灰,NENHUI,#74787A,116,120,122,1
银鱼白,YINYUBAI,#CDD1D3,205,209,211,1
釉蓝,YOULAN,#1781B5,23,129,181,1
涧石蓝,JIANSHILAN,#66A9C9,102,169,201,1
远天蓝,YUANTIANLAN,#D0DFE6,208,223,230,1
云山蓝,YUNSHANLAN,#2F90B9,47,144,185,1
秋波蓝,QIUBOLAN,#8ABCD1,138,188,209,1
井天蓝,JINGTIANLAN,#C3D7DF,195,215,223,1
鸢尾蓝,YUANWEILAN,#158BB8,21,139,184,1
云峰白,YUNFENGBAI,#D8E3E7,216,227,231,1
星灰,XINGHUI,#B2BBBE,178,187,190,1
钴蓝,GULAN,#1A94BC,26,148,188,1
碧青,BIQING,#5CB3CC,92,179,204,1
苍蓝,CANGLAN,#134857,19,72,87,1
湖水蓝,HUSHUILAN,#B0D5DF,176,213,223,1
海青,HAIQING,#22A2C3,34,162,195,1
霁青,JIQING,#63BBD0,99,187,208,1
玉鈫蓝,YUQINLAN,#126E82,18,110,130,1
胆矾蓝,DANFANLAN,#0F95B0,15,149,176,1
樫鸟蓝,JIANNIAOLAN,#1491A8,20,145,168,1
鸥蓝,OULAN,#C7D2D4,199,210,212,1
翠蓝,CUILAN,#1E9EB3,30,158,179,1
蜻蜓蓝,QINGTINGLAN,#3B818C,59,129,140,1
孔雀蓝,KONGQUELAN,#0EB0C9,14,176,201,1
蔚蓝,WEILAN,#29B7CB,41,183,203,1
瀑布蓝,PUBULAN,#51C4D3,81,196,211,1
闪蓝,SHANLAN,#7CABB1,124,171,177,1
甸子蓝,DIANZILAN,#10AEC2,16,174,194,1
晚波蓝,WANBOLAN,#648E93,100,142,147,1
清水蓝,QINGSHUILAN,#93D5DC,147,213,220,1
夏云灰,XIAYUNHUI,#617172,97,113,114,1
海天蓝,HAITIANLAN,#C6E6E8,198,230,232,1
虾壳青,XIAKEQING,#869D9D,134,157,157,1
石绿,SHILV,#57C3C2,87,195,194,1
穹灰,QIONGHUI,#C4D7D6,196,215,214,1
美蝶绿,MEIDIELV,#12AA9C,18,170,156,1
垩灰,EHUI,#737C7B,115,124,123,1
蓝绿,LANLV,#12A182,18,161,130,1
竹绿,ZHULV,#1BA784,27,167,132,1
亚丁绿,YADINGLV,#428675,66,134,117,1
月影白,YUEYINGBAI,#C0C4C3,192,196,195,1
海王绿,HAIWANGLV,#248067,36,128,103,1
青矾绿,QINGFANLV,#2C9678,44,150,120,1
飞泉绿,FEIQUANLV,#497568,73,117,104,1
梧枝绿,WUZHILV,#69A794,105,167,148,1
铜绿,TONGLV,#2BAE85,43,174,133,1
草原远绿,CAOYUANYUANLV,#9ABEAF,154,190,175,1
蛙绿,WALV,#45B787,69,183,135,1
浪花绿,LANGHUALV,#92B3A5,146,179,165,1
粉绿,FENLV,#83CBAC,131,203,172,1
淡绿灰,DANLVHUI,#70887D,112,136,125,1
麦苗绿,MAIMIAOLV,#55BB8A,85,187,138,1
翠绿,CUILV,#20A162,32,161,98,1
葱绿,CONGLV,#40A070,64,160,112,1
荷叶绿,HEYELV,#1A6840,26,104,64,1
淡绿,DANLV,#61AC85,97,172,133,1
田园绿,TIANYUANLV,#68B88E,104,184,142,1
玉簪绿,YUZANLV,#A4CAB6,164,202,182,1
蟾绿,CHANLV,#3C9566,60,149,102,1
蔻梢绿,KOUSHAOLV,#5DBE8A,93,190,138,1
薄荷绿,BOHELV,#207F4C,32,127,76,1
月白,YUEBAI,#EEF7F2,238,247,242,1
蛋白石绿,DANBAISHILV,#579572,87,149,114,1
竹篁绿,ZHUHUANGLV,#B9DEC9,185,222,201,1
孔雀绿,KONGQUELV,#229453,34,148,83,1
宫殿绿,GONGDIANLV,#20894D,32,137,77,1
毛绿,MAOLV,#66C18C,102,193,140,1
冰山蓝,BINGSHANLAN,#A4ACA7,164,172,167,1
明灰,MINGHUI,#8A988E,138,152,142,1
明绿,MINGLV,#9ECCAB,158,204,171,1
松霜绿,SONGSHUANGLV,#83A78D,131,167,141,1
狼烟灰,LANGYANHUI,#5D655F,93,101,95,1
瓦松绿,WASONGLV,#6E8B74,110,139,116,1
淡翠绿,DANCUILV,#C6DFC8,198,223,200,1
玉髓绿,YUSUILV,#41B349,65,179,73,1
鲜绿,XIANLV,#43B244,67,178,68,1
宝石绿,BAOSHILV,#41AE3C,65,174,60,1
嘉陵水绿,JIALINGSHUILV,#ADD5A2,173,213,162,1
田螺绿,TIANLUOLV,#5E665B,94,102,91,1
水绿,SHUILV,#8CC269,140,194,105,1
鹦鹉绿,YINGWULV,#5BAE23,91,174,35,1
艾背绿,AIBEILV,#DFECD5,223,236,213,1
艾绿,AILV,#CAD3C3,202,211,195,1
镍灰,NIEHUI,#9FA39A,159,163,154,1
橄榄石绿,GANLANSHILV,#B2CF87,178,207,135,1
芽绿,YALV,#96C24E,150,194,78,1
嫩菊绿,NENJULV,#F0F5E5,240,245,229,1
芦苇绿,LUWEILV,#B7D07A,183,208,122,1
姚黄,YAOHUANG,#D0DEAA,208,222,170,1
苹果绿,PINGGUOLV,#BACF65,186,207,101,1
海沬绿,HAIMEILV,#E2E7BF,226,231,191,1
橄榄黄绿,GANLANHUANGLV,#BEC936,190,201,54,1
槐花黄绿,HUAIHUAHUANGLV,#D2D97A,210,217,122,1
蝶黄,DIEHUANG,#E2D849,226,216,73,1
象牙白,XIANGYABAI,#FFFEF8,255,254,248,1
雪白,XUEBAI,#FFFEF9,255,254,249,1
淡灰绿,DANHUILV,#AD9E5F,173,158,85,1
佛手黄,FOSHOUHUANG,#FED71A,254,215,26,1
乳白,RUBAI,#F9F4DC,249,244,220,1
香蕉黄,XIANGJIAOHUANG,#E4BF11,228,191,17,1
新禾绿,XINHELV,#D2B116,210,177,22,1
油菜花黄,YOUCAIHUAHUANG,#FBDA41,251,218,65,1
秋葵黄,QIUKUIHUANG,#EED045,238,208,69,1
柚黄,YOUHUANG,#F1CA17,241,202,23,1
草黄,CAOHUANG,#D2B42C,210,180,44,1
硫华黄,LIUHUAHUANG,#F2CE2B,242,206,43,1
姜黄,JIANGHUANG,#E2C027,226,192,39,1
金瓜黄,JINGUAHUANG,#FCD217,252,210,23,1
麦秆黄,MAIGANHUANG,#F8DF70,248,223,112,1
蒿黄,HAOHUANG,#DFC243,223,194,67,1
茉莉黄,MOLIHUANG,#F8DF72,248,223,114,1
藤黄,TENGHUANG,#FFD111,254,209,16,1
芒果黄,MANGGUOHUANG,#DDC871,221,200,113,1
碧螺春绿,BILUOCHUNLV,#867018,134,112,24,1
苔绿,TAILV,#887322,136,115,34,1
柠檬黄,NINGMENGHUANG,#FCD337,252,211,55,1
草灰绿,CAOHUILV,#8E804B,142,128,75,1
向日葵黄,XIANGRIKUIHUANG,#FECC11,254,204,17,1
素馨黄,SUXINHUANG,#FCCB16,252,203,22,1
乳鸭黄,RUYAHUANG,#FFC90C,255,201,12,1
月灰,YUEHUI,#B7AE8F,183,174,143,1
葵扇黄,KUISHANHUANG,#F8D86A,248,216,106,1
大豆黄,DADOUHUANG,#FBCD31,251,205,49,1
金盏黄,JINZHANHUANG,#FCC307,252,195,7,1
菊蕾白,JULEIBAI,#E9DDB6,233,221,182,1
黄连黄,HUANGLIANHUANG,#FCC515,252,197,21,1
杏仁黄,XINGRENHUANG,#F7E8AA,249,236,195,1
谷黄,GUHUANG,#E8B004,232,176,4,1
木瓜黄,MUGUAHUANG,#F9C116,249,193,22,1
淡茧黄,DANJIANHUANG,#F9D770,249,215,112,1
雅梨黄,YALIHUANG,#FBC82F,251,200,47,1
银白,YINBAI,#F1F0ED,241,240,237,1
鹦鹉冠黄,YINGWUGUANHUANG,#F6C430,246,196,48,1
枯绿,KULV,#B78D12,183,141,18,1
浅烙黄,QIANLAOHUANG,#F9BD10,249,189,16,1
淡密黄,DANMIHUANG,#F9D367,249,211,103,1
芥黄,JIEHUANG,#D9A40E,217,164,14,1
栀子黄,ZHIZIHUANG,#EBB10D,235,177,13,1
篾黄,MIEHUANG,#F7DE98,247,222,152,1
蚌肉白,BANGROUBAI,#F9F1DB,249,241,219,1
炒米黄,CHAOMIHUANG,#F4CE69,244,206,105,1
琥珀黄,HUPOHUANG,#FEBA07,254,186,7,1
灰绿,HUILV,#8A6913,138,105,19,1
粽叶绿,ZONGYELV,#876818,135,104,24,1
尘灰,CHENHUI,#B6A476,182,164,118,1
鼬黄,YOUHUANG,#FCB70A,252,183,10,1
象牙黄,XIANGYAHUANG,#F0D695,240,214,149,1
鲛青,JIAOQING,#87723E,135,114,62,1
豆汁黄,DOUZHIHUANG,#F8E8C1,248,232,193,1
土黄,TUHUANG,#D6A01D,214,160,29,1
香水玫瑰黄,XIANGSHUIMEIGUIHUANG,#F7DA94,247,218,148,1
虎皮黄,HUPIHUANG,#EAAD1A,234,173,26,1
鸡蛋黄,JIDANHUANG,#FBB612,251,182,18,1
银鼠灰,YINSHUHUI,#B5AA90,181,170,144,1
鱼肚白,YUDUBAI,#F7F4ED,247,244,237,1
初熟杏黄,CHUSHUXINGHUANG,#F8BC31,248,188,49,1
山鸡黄,SHANJIHUANG,#B78B26,183,139,38,1
莲子白,LIANZIBAI,#E5D3AA,229,211,170,1
蟹壳灰,XIEKEHUI,#695E45,105,94,69,1
沙石黄,SHASHIHUANG,#E5B751,229,183,81,1
甘草黄,GANCAOHUANG,#F3BF4C,243,191,76,1
燕羽灰,YANYUHUI,#685E48,104,94,72,1
鹅掌黄,EZHANGHUANG,#FBB929,251,185,41,1
麦芽糖黄,MAIYATANGHUANG,#F9D27D,249,210,125,1
浅驼色,QIANTUOSE,#E2C17C,226,193,124,1
百灵鸟灰,BAILINGNIAOHUI,#B4A992,180,169,146,1
酪黄,LAOHUANG,#F6DEAD,246,222,173,1
荔肉白,LIROUBAI,#F2E6CE,242,230,206,1
淡肉色,DANROUSE,#F8E0B0,248,224,176,1
蜴蜊绿,YILILV,#835E1D,131,94,29,1
汉白玉,HANBAIYU,#F8F4ED,248,244,237,1
橙皮黄,CHENGPIHUANG,#FCA104,252,161,4,1
莱阳梨黄,LAIYANGLIHUANG,#815F25,129,95,37,1
枇杷黄,PIPAHUANG,#FCA106,252,161,6,1
金叶黄,JINYEHUANG,#FFA60F,255,166,15,1
苍黄,CANGHUANG,#806332,128,99,50,1
粉白,FENBAI,#FBF2E3,251,242,227,1
淡橘橙,DANJUCHENG,#FBA414,251,164,20,1
珍珠灰,ZHENZHUHUI,#E4DFD7,228,223,215,1
龟背黄,GUIBEIHUANG,#826B48,130,107,72,1
浅灰,QIANHUI,#DAD4CB,218,212,203,1
铅灰,QIANHUI,#BBB5AC,187,181,172,1
中灰,ZHONGHUI,#BBB5AC,187,181,172,1
雄黄,XIONGHUANG,#FF9900,255,153,0,1
蜜黄,MIHUANG,#FBB957,251,185,87,1
风帆黄,FENGFANHUANG,#DC9123,220,145,35,1
桂皮淡棕,GUIPIDANZONG,#C09351,192,147,81,1
金莺黄,JINYINGHUANG,#F4A83A,244,168,58,1
肉色,ROUSE,#F7C173,247,193,115,1
凋叶棕,DIAOYEZONG,#E7A23F,231,162,63,1
落英淡粉,LUOYINGDANFEN,#F9E8D0,249,232,208,1
软木黄,RUANMUHUANG,#DE9E44,222,158,68,1
瓜瓤粉,GUARANGFEN,#F9CB8B,249,203,139,1
榴萼黄,LIUEHUANG,#F9A633,249,166,51,1
玳瑁黄,DAIMAOHUANG,#DAA45A,218,164,90,1
山鸡褐,SHANJIHE,#986524,152,101,36,1
猴毛灰,HOUMAOHUI,#97846C,151,132,108,1
鹿角棕,LUJIAOZONG,#E3BD8D,227,189,141,1
万寿菊黄,WANSHOUJUHUANG,#FB8B05,251,139,5,1
蛋壳黄,DANKEHUANG,#F8C387,248,195,135,1
杏黄,XINGHUANG,#F28E16,250,142,22,1
玛瑙灰,MANAOHUI,#CFCCC9,207,204,201,1
淡银灰,DANYINHUI,#C1B2A3,193,178,163,1
瓦灰,WAHUI,#867E76,134,126,118,1
夜灰,YEHUI,#847C74,132,124,116,1
北瓜黄,BEIGUAHUANG,#FC8C23,252,140,35,1
荷花白,HEHUABAI,#FBECDE,251,236,222,1
淡米粉,DANMIFEN,#FBEEE2,251,238,226,1
深灰,SHENHUI,#81776E,129,119,110,1
海鸥灰,HAIOUHUI,#9A8878,154,136,120,1
银灰,YINHUI,#918072,145,128,114,1
鹿皮褐,LUPIHE,#D99156,217,145,86,1
槟榔综,BINGLANGZONG,#C1651A,193,101,26,1
晓灰,XIAOHUI,#D4C4B7,212,196,183,1
淡赭,DANZHE,#BE7E4A,190,126,74,1
麂棕,JIZONG,#DE7622,222,118,34,1
醉瓜肉,ZUIGUAROU,#DB8540,219,133,64,1
雁灰,YANHUI,#80766E,128,118,110,1
鲑鱼红,GUIYUHONG,#F09C5A,240,156,90,1
橘橙,JUCHENG,#F97D1C,249,125,28,1
金黄,JINHUANG,#F26B1F,242,123,31,1
玫瑰粉,MEIGUIFEN,#F8B37F,248,179,127,1
美人焦橙,MEIRENJIAOCHENG,#FA7E23,250,126,35,1
米色,MISE,#F9E9CD,249,223,205,1
蛛网灰,ZHUWANGHUI,#B7A091,183,160,145,1
淡咖啡,DANKAFEI,#945833,148,88,51,1
海螺橙,HAILUOCHENG,#F0945D,240,148,93,1
岩石棕,YANSHIZONG,#964D22,150,77,34,1
芒果棕,MANGGUOZONG,#954416,149,68,22,1
陶瓷红,TAOCIHONG,#E16723,225,103,35,1
菠萝红,BOLUOHONG,#FC7930,252,121,48,1
余烬红,YUJINHONG,#CF7543,207,117,67,1
金莲花橙,JINLIANHUACHENG,#F86B1D,248,107,29,1
火砖红,HUOZHUANHONG,#CD6227,205,98,39,1
初桃粉红,CHUTAOFENHONG,#F6DCCE,246,220,206,1
铁棕,TIEZONG,#D85916,216,89,22,1
介壳淡粉红,JIEQIAODANFENHONG,#F7CFBA,247,207,186,1
蟹壳红,XIEKEHONG,#F27635,242,118,53,1
金驼,JINTUO,#E46828,228,104,40,1
燕颔红,YANHANHONG,#FC6315,252,99,21,1
淡可可棕,DANKEKEZONG,#B7511D,183,81,29,1
晨曦红,CHENXIHONG,#EA8958,234,137,88,1
玉粉红,YUFENHONG,#E8B49A,232,180,154,1
野蔷薇红,YEQIANGWEIHONG,#FB9968,251,153,104,1
藕荷,OUHE,#EDC3AE,237,195,174,1
中红灰,ZHONGHONGHUI,#8B614D,139,97,77,1
火泥棕,HUONIZONG,#AA6A4C,170,106,76,1
绀红,GANHONG,#AA6A4C,170,106,76,1
莓酱红,MEIJIANGHONG,#FA5D19,250,93,25,1
淡玫瑰灰,DANMEIGUIHUI,#B89485,184,148,133,1
瓜瓤红,GUARANGHONG,#F68C60,246,140,96,1
淡藏花红,DANCANGHUAHONG,#F6AD8F,246,173,143,1
润红,RUNHONG,#F7CDBC,247,205,188,1
龙睛鱼红,LONGJINGYUHONG,#EF632B,239,99,43,1
淡土黄,DANTUHUANG,#8C4B31,140,75,49,1
珠母灰,ZHUMUHUI,#64483D,100,72,61,1
芙蓉红,FURONGHONG,#F9723D,249,114,61,1
落霞红,LUOXIAHONG,#CF4813,207,72,19,1
法螺红,FALUOHONG,#EE8055,238,128,85,1
草珠红,CAOZHUHONG,#F8EBE6,248,235,230,1
咖啡,KAFEI,#753117,117,49,23,1
椰壳棕,YEKEZONG,#883A1E,136,58,30,1
蟹蝥红,XIEMAOHONG,#B14B28,177,75,40,1
淡豆沙,DANDOUSHA,#873D24,135,61,36,1
淡桃红,DANTAOHONG,#F6CEC1,246,206,193,1
银朱,YINZHU,#F43E06,244,62,6,1
草莓红,CAOMEIHONG,#EF6F48,239,111,72,1
洋水仙红,YANGSHUIXIANHONG,#F4C7BA,244,199,186,1
朱红,ZHUHONG,#ED5126,237,81,38,1
榴花红,LIUHUAHONG,#F34718,243,71,24,1
柿红,SHIHONG,#F2481B,242,72,27,1
淡罂粟红,DANYINGSUHONG,#EEA08C,238,160,140,1
大红,DAHONG,#F04B22,240,75,34,1
蜻蜓红,QINGTINGHONG,#F1441D,241,68,29,1
橡树棕,XIANGSHUZONG,#773D31,119,61,49,1
颊红,JIAHONG,#EEAA9C,238,170,156,1
桃红,TAOHONG,#F0ADA0,240,173,160,1
火岩棕,HUOYANZONG,#863020,134,48,32,1
淡藤萝紫,DANTENGLUOZI,#F2E7E5,242,231,229,1
铁水红,TIESHUIHONG,#F5391C,245,57,28,1
胭脂红,YANZHIHONG,#F03F24,240,63,36,1
极光红,JIGUANGHONG,#F33B1F,243,59,31,1
红汞红,HONGGONGHONG,#F23E23,242,62,35,1
萝卜红,LUOBOHONG,#F13C22,241,60,34,1
曲红,QUHONG,#F05A46,240,90,70,1
谷鞘红,GUQIAOHONG,#F17666,241,118,102,1
苹果红,PINGGUOHONG,#F15642,241,86,66,1
桂红,GUIHONG,#F25A47,242,90,71,1
粉红,FENHONG,#F2B9B2,242,185,178,1
夕阳红,XIYANGHONG,#DE2A18,222,42,24,1
樱桃红,YINGTAOHONG,#ED3321,237,51,33,1
珊瑚红,SHANHUHONG,#F04A3A,240,74,58,1
鹤顶红,HEDINGHONG,#D42517,212,37,23,1
舌红,SHEHONG,#F19790,241,151,144,1
鹅血石红,EXUESHIHONG,#AB372F,171,55,47,1
鱼鳃红,YUSAIHONG,#ED3B2F,237,59,47,1
芦穗灰,LUSUIHUI,#BDAEAD,189,174,173,1
丽春红,LICHUNHONG,#EB261A,235,38,26,1
覆盆子红,FUPENZIHONG,#AC1F18,172,31,24,1
榴子红,LIUZIHONG,#F1908C,241,144,140,1
秋海棠红,QIUHAITANGHONG,#EC2B24,236,43,36,1
无花果红,WUHUAGUOHONG,#EFAFAD,239,175,173,1
淡绯,DANFEI,#F2CAC9,242,202,201,1
玫瑰灰,MEIGUIHUI,#4B2E2B,175,46,43,1
淡菽红,DANSHUHONG,#ED4845,237,72,69,1
枸枢红,GOUSHUHONG,#ED3333,237,51,51,1
