TIMU,CHAODAI,ZUOZHE,NEIRONG,YIWEN,ZZJIANJIE
长相思·汴水流,唐代,白居易,汴水流，泗水流，流到瓜州古渡头。#吴山点点愁。#思悠悠，恨悠悠，恨到归时方始休。#月明人倚楼。,汴水长流，泗水长流，流到长江古老的渡口，遥望去，江南的群山在默默点头，频频含羞，凝聚着无限哀愁。思念呀，怨恨呀，哪儿是尽头，伊人呀，除非你归来才会罢休。一轮皓月当空照，让我俩紧紧偎傍，倚楼望月。,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
花非花,唐代,白居易,花非花，雾非雾。#夜半来，天明去。#来如春梦几多时？#去似朝云无觅处。,说它是花不是花，说它是雾吗不是雾。半夜时到来，天明时离去。来时仿佛短暂而美好的春梦？离去时又像清晨的云彩无处寻觅。,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
浪淘沙·借问江潮与海水,唐代,白居易,借问江潮与海水，何似君情与妾心？#相恨不如潮有信，相思始觉海非深。,我问这江潮和海水，哪里像郎君的深情和女子的心意。男女互相埋怨的时候认为对方不如潮水守时有信，互相思念的时候才发觉海并不算深。,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
采莲子·菡萏香莲十顷陂,唐代,皇甫松,菡萏香连十顷陂，小姑贪戏采莲迟。#晚来弄水船头湿，更脱红裙裹鸭儿。,N/A,皇甫松，字子奇，自号檀栾子，睦州新安（今浙江淳安）人。他是工部侍郎皇甫湜之子，宰相牛僧孺之外甥。《新唐书&183;艺文志》著录皇甫松《醉乡日月》3卷。其词今存20余首，见于《花间集》、《唐五代词》。事迹见《历代诗馀》。今有王国维辑《檀栾子词》一卷。
梦江南·兰烬落,唐代,皇甫松,兰烬落，屏上暗红蕉。#闲梦江南梅熟日，夜船吹笛雨萧萧。#人语驿边桥。,更深烛尽，烛光暗淡，画屏上的美人蕉模糊不辨。我昏昏欲睡，终于进入了梦乡，梦中是我久别的江南，正是青梅熟时，江南雨季，我独自在一艘船上，手握竹笛，和着船外那萧萧的夜雨尽情的吹奏，时而听见桥上驿亭边人语，操着那久违的乡音，诉说着难忘的故事。,皇甫松，字子奇，自号檀栾子，睦州新安（今浙江淳安）人。他是工部侍郎皇甫湜之子，宰相牛僧孺之外甥。《新唐书&183;艺文志》著录皇甫松《醉乡日月》3卷。其词今存20余首，见于《花间集》、《唐五代词》。事迹见《历代诗馀》。今有王国维辑《檀栾子词》一卷。
望江南·梳洗罢,唐代,温庭筠,梳洗罢，独倚望江楼。#过尽千帆皆不是，斜晖脉脉水悠悠。#肠断白蘋洲。,梳洗完毕，独自一人登上望江楼，倚靠着楼柱凝望着滔滔江面。上千艘船过去了，所盼望的人都没有出现。太阳的余晖脉脉地洒在江面上，江水慢慢地流着，思念的柔肠萦绕在那片白蘋洲上。,温庭筠（约812—866）唐代诗人、词人。本名岐，字飞卿，太原祁（今山西祁县东南）人。富有天才，文思敏捷，每入试，押官韵，八叉手而成八韵，所以也有“温八叉”之称。然恃才不羁，又好讥刺权贵，多犯忌讳，取憎于时，故屡举进士不第，长被贬抑，终生不得志。官终国子助教。精通音律。工诗，与李商隐齐名，时称“温李”。其诗辞藻华丽，秾艳精致，内容多写闺情。其词艺术成就在晚唐诸词人之上，为“花间派”首要词人，对词的发展影响较大。在词史上，与韦庄齐名，并称“温韦”。存词七十余首。后人辑有《温飞卿集》及《金奁集》。
菩萨蛮·小山重叠金明灭,唐代,温庭筠,小山重叠金明灭，鬓云欲度香腮雪。#懒起画蛾眉，弄妆梳洗迟。#照花前后镜，花面交相映。#新帖绣罗襦，双双金鹧鸪。,眉妆漫染，叠盖了部分额黄，鬓边发丝飘过。洁白的香腮似雪，懒得起来，画一画蛾眉，整一整衣裳，梳洗打扮，慢吞吞，意迟迟。照一照新插的花朵，对了前镜，又对后镜，红花与容颜，交相辉映，刚穿上的绫罗裙襦，绣着一双双的金鹧鸪。,温庭筠（约812—866）唐代诗人、词人。本名岐，字飞卿，太原祁（今山西祁县东南）人。富有天才，文思敏捷，每入试，押官韵，八叉手而成八韵，所以也有“温八叉”之称。然恃才不羁，又好讥刺权贵，多犯忌讳，取憎于时，故屡举进士不第，长被贬抑，终生不得志。官终国子助教。精通音律。工诗，与李商隐齐名，时称“温李”。其诗辞藻华丽，秾艳精致，内容多写闺情。其词艺术成就在晚唐诸词人之上，为“花间派”首要词人，对词的发展影响较大。在词史上，与韦庄齐名，并称“温韦”。存词七十余首。后人辑有《温飞卿集》及《金奁集》。
更漏子·柳丝长,唐代,温庭筠,柳丝长，春雨细，花外漏声迢递。#惊塞雁，起城乌，画屏金鹧鸪。#香雾薄，透帘幕，惆怅谢家池阁。#红烛背，绣帘垂，梦长君不知。,柳丝柔长春雨霏霏，花丛外漏声不断传向远方。塞雁向南归去令人惊心，杂乱的城鸟寻觅着栖巢，望着画屏上对对金鹧鸪令人格外伤感。薄薄的香雾透入帘幕之中，美丽的楼阁池榭啊再无人一起观赏。绣帘低垂独自背着垂泪的红色蜡烛，长梦不断远方亲人啊可知道我的衷肠？,温庭筠（约812—866）唐代诗人、词人。本名岐，字飞卿，太原祁（今山西祁县东南）人。富有天才，文思敏捷，每入试，押官韵，八叉手而成八韵，所以也有“温八叉”之称。然恃才不羁，又好讥刺权贵，多犯忌讳，取憎于时，故屡举进士不第，长被贬抑，终生不得志。官终国子助教。精通音律。工诗，与李商隐齐名，时称“温李”。其诗辞藻华丽，秾艳精致，内容多写闺情。其词艺术成就在晚唐诸词人之上，为“花间派”首要词人，对词的发展影响较大。在词史上，与韦庄齐名，并称“温韦”。存词七十余首。后人辑有《温飞卿集》及《金奁集》。
菩萨蛮·红楼别夜堪惆怅,唐代,韦庄,红楼别夜堪惆怅，香灯半卷流苏帐。#残月出门时，美人和泪辞。#琵琶金翠羽，弦上黄莺语。#劝我早还家，绿窗人似花。,当时红楼离别之夜，令人惆怅不已，香灯隐约地映照着半卷的流苏帐。残月将落，天刚破晓时，“我”就要出门远行，美人含着泪珠为“我”送行，真是“寸寸柔肠，盈盈粉泪”的样子。临别时为我弹奏一曲如泣如诉的乐章，那琵琶杆拨上装饰着用金制成的翠羽，雍容华贵；那琵琶弦上弹奏着娇软的莺语，婉转动人。那凄恻的音乐分明是在劝“我”早些儿回家，碧纱窗下有如花美眷在等着他。,韦庄（约836年─910年），字端己，杜陵（今中国陕西省西安市附近）人，诗人韦应物的四代孙，唐朝花间派词人，词风清丽，有《浣花词》流传。曾任前蜀宰相，谥文靖。
菩萨蛮·人人尽说江南好,唐代,韦庄,人人尽说江南好，游人只合江南老。#春水碧于天，画船听雨眠。#垆边人似月，皓腕凝霜雪。#未老莫还乡，还乡须断肠。,人人都说江南好，游人应该在江南待到老去。春天的江水清澈碧绿比天空还青，游人可以在有彩绘的船上听着雨声入眠。江南酒家卖酒的女子长得很美，卖酒撩袖时露出的双臂洁白如雪。年华未衰之时不要回乡，回到家乡后必定悲痛到极点。,韦庄（约836年─910年），字端己，杜陵（今中国陕西省西安市附近）人，诗人韦应物的四代孙，唐朝花间派词人，词风清丽，有《浣花词》流传。曾任前蜀宰相，谥文靖。
菩萨蛮·劝君今夜须沉醉,唐代,韦庄,劝君今夜须沉醉，尊前莫话明朝事。#珍重主人心，酒深情亦深。#须愁春漏短，莫诉金杯满。#遇酒且呵呵，人生能几何。,今天晚上劝您务必要喝个一醉方休，酒桌前千万不要谈论明天的事情。就珍重现在热情的主人的心意吧，因为主人的酒杯是深的，主人的情谊也是深的。我忧愁的是像今晚这般欢饮的春夜太短暂了，我不再推辞说您又将我的酒杯斟得太满。既然有酒可喝再怎么样也得打起精神来，人生能有多长呢？,韦庄（约836年─910年），字端己，杜陵（今中国陕西省西安市附近）人，诗人韦应物的四代孙，唐朝花间派词人，词风清丽，有《浣花词》流传。曾任前蜀宰相，谥文靖。
女冠子·四月十七,唐代,韦庄,四月十七，正是去年今日，别君时。#忍泪佯低面，含羞半敛眉。#不知魂已断，空有梦相随。#除却天边月，没人知。,今天是四月十七，去年这个日子，正是与你离别的时候。忍住泪水假装着低下脸，含羞皱着眉头。自别后我魂销肠断，如今只能在梦里与你相见。我的相思之情，除了天边的月亮，又有谁知道呢？,韦庄（约836年─910年），字端己，杜陵（今中国陕西省西安市附近）人，诗人韦应物的四代孙，唐朝花间派词人，词风清丽，有《浣花词》流传。曾任前蜀宰相，谥文靖。
女冠子·昨夜夜半,唐代,韦庄,昨夜夜半，枕上分明梦见。#语多时。#依旧桃花面，频低柳叶眉。#半羞还半喜，欲去又依依。#觉来知是梦，不胜悲。,昨天深夜里，你在我的梦里翩然出现了。我们说了好多好多的话，发现你依旧还是那么美丽、可爱，像从前一样面若桃花，频频低垂的眼睑，弯弯的柳叶眉。看上去好像又有些羞涩，又有些欢喜。该走时却又频频回首，依依不舍。只到醒来才知道是大梦一场，身边依然空空，自己依然是形单影只的一个人，心中不觉涌起难忍的悲哀。,韦庄（约836年─910年），字端己，杜陵（今中国陕西省西安市附近）人，诗人韦应物的四代孙，唐朝花间派词人，词风清丽，有《浣花词》流传。曾任前蜀宰相，谥文靖。
思帝乡·春日游,唐代,韦庄,春日游，杏花吹满头。#陌上谁家年少足风流？#妾拟将身嫁与一生休。#纵被无情弃，不能羞。,春日踏青郊游，风吹杏花满头。田间路上是谁家少年，青春如花真风流。我想以身相许嫁给他，一生一世就此休。纵使他薄情无义抛弃我，也不后悔也不害羞。,韦庄（约836年─910年），字端己，杜陵（今中国陕西省西安市附近）人，诗人韦应物的四代孙，唐朝花间派词人，词风清丽，有《浣花词》流传。曾任前蜀宰相，谥文靖。
浣溪沙·红蓼渡头秋正雨,唐代,薛昭蕴,红蓼渡头秋正雨，印沙鸥迹自成行，整鬟飘袖野风香。#不语含嚬深浦里，几回愁煞棹船郎，燕归帆尽水茫茫。,N/A,薛昭蕴，字澄州，河中宝鼎（今山西荣河县）人。王衍时，官至侍郎。擅诗词，才华出众。《北梦琐言》：薛澄州昭蕴即保逊之子也。恃才傲物，亦有父风。每入朝省，弄笏而行，旁若无人。好唱《浣溪沙》词。
忆江南·衔泥燕,唐代,牛峤,衔泥燕，飞到画堂前。#占得杏梁安稳处，体轻唯有主人怜，堪羡好因缘。,衔着泥土的燕子，飞到装饰华丽的大堂前，占据着梁间安稳的地方，体态轻盈只有主人伶爱，好烟缘可堪羡慕。,牛峤，字松卿（约公元890年前后在世），一字延峰，陇西人。生卒年均不详，约唐昭宗大顺初前后在世。乾符五年（公元878年）进士及第。历官拾遗，补尚书郎，后人又称“牛给事”。以词著名，词格类温庭筠。原有歌诗集三卷，今存词三十三首，（见《花间集》）诗六首。
生查子·新月曲如眉,五代,牛希济,新月曲如眉，未有团圞意。#红豆不堪看，满眼相思泪。#终日劈桃穰，人在心儿里。#两朵隔墙花，早晚成连理。,新月弯弯如眉毛，没有圆的意思。不忍心看红豆，满眼都是相思泪。整天劈核桃，那人像桃仁嵌在核壳中一样嵌在我心中。两朵隔墙相望的花，早晚会结成连理枝。,五代词人。生卒年不详。陇西（今甘肃）人。词人牛峤之侄。早年即有文名，遇丧乱，流寓于蜀，依峤而居。后为前蜀主王建所赏识，任起居郎。前蜀后主王衍时，累官翰林学士、御史中丞。后唐庄宗同光三年(925)，随前蜀主降于后唐，明宗时拜雍州节度副使。
巫山一段云·古庙依青嶂,唐代,李珣,古庙依青嶂，行宫枕碧流。#水声山色锁妆楼。#往事思悠悠。#云雨朝还暮，烟花春复秋。#啼猿何必近孤舟。#行客自多愁。,神女寺依旧傍着青山，楚王的细腰宫依旧枕着碧绿的江流。潺潺流水和暖暖翠岚环绕着昔日梳妆的楼台，悠悠往事真叫人感慨万千。巫山从早到晚雨迷云轻，春去秋来花开花落，岁月就这般流逝。何必要猿啼声声传向孤舟，远行的旅客自有许多忧愁。,李珣（855？-930？），五代词人。字德润，其祖先为波斯人。居家梓州（四川省三台）。生卒年均不详，约唐昭宗乾宁中前后在世。少有时名，所吟诗句，往往动人。妹舜弦为王衍昭仪，他尝以秀才预宾贡。又通医理，兼卖香药，可见他还不脱波斯人本色。蜀亡，遂亦不仕他姓。珣著有琼瑶集，已佚，今存词五十四首，（见《唐五代词》）多感慨之音。）
南乡子·乘彩舫,唐代,李珣,乘彩舫，过莲塘，棹歌惊起睡鸳鸯。#游女带香偎伴笑，争窈窕，竞折团荷遮晚照。,乘着五彩画舫，经过莲花池塘，船歌悠扬，惊醒安睡的鸳鸯。满身香气的少女只顾依偎着同伴嫣然倩笑，这些少女个个姿态美好，她们在娇笑中折起荷叶遮挡夕阳。,李珣（855？-930？），五代词人。字德润，其祖先为波斯人。居家梓州（四川省三台）。生卒年均不详，约唐昭宗乾宁中前后在世。少有时名，所吟诗句，往往动人。妹舜弦为王衍昭仪，他尝以秀才预宾贡。又通医理，兼卖香药，可见他还不脱波斯人本色。蜀亡，遂亦不仕他姓。珣著有琼瑶集，已佚，今存词五十四首，（见《唐五代词》）多感慨之音。）
诉衷情·永夜抛人何处去,唐代,顾夐,永夜抛人何处去？#绝来音。#香阁掩，眉敛，月将沉。#争忍不相寻？#怨孤衾。#换我心，为你心，始知相忆深。,漫漫长夜你撇下我远走到哪里？没有一点音讯。香阁门儿关上，眉儿紧紧皱起，月亮就要西沉。怎么忍心不把你追寻？怨恨这孤眠独寝。只有换我的心，变作你的心，你才会知道这相思有多么深。,顾敻，五代词人。生卒年、籍贯及字号均不详。前蜀王建通正(916)时，以小臣给事内廷，见秃鹫翔摩诃池上，作诗刺之，几遭不测之祸。后擢茂州刺史。入后蜀，累官至太尉。顾夐能诗善词。《花间集》收其词55首，全部写男女艳情。
浣溪沙·蓼岸风多橘柚香,五代,孙光宪,蓼岸风多橘柚香。#江边一望楚天长。#片帆烟际闪孤光。#目送征鸿飞杳杳，思随流水去茫茫。#兰红波碧忆潇湘。,长满蓼花的岸边，风里飘来橘袖浓浓的香，我伫立在江边远眺，楚天寥廓，江水滔滔流向东方。那一片远去的孤帆，在水天交汇处泛起一点白光。我的目光追随着飞去的鸿雁，直到他的身影消失在远方。思绪有如不尽的江水，随着茫茫的江涛漂荡。秋的红兰，江的碧波，一定会让他怀念深情的潇湘。,孙光宪（901-968），字孟文，自号葆光子，属鸡，出生在陵州贵平（今属四川省仁寿县东北的向家乡贵坪村）。仕南平三世，累官荆南节度副使、朝议郎、检校秘书少监，试御史中丞。入宋，为黄州刺史。太祖乾德六年卒。《宋史》卷四八三、《十国春秋》卷一○二有传。孙光宪“性嗜经籍，聚书凡数千卷。或手自钞写，孜孜校雠，老而不废”。著有《北梦琐言》、《荆台集》、《橘斋集》等，仅《北梦琐言》传世。词存八十四首，风格与“花间”的浮艳、绮靡有所不同。刘毓盘辑入《唐五代宋辽金元名家词集六十种》中，又有王国维缉《孙中丞词》一卷。
谒金门·风乍起,五代,冯延巳,风乍起，吹皱一池春水。#闲引鸳鸯香径里，手挼红杏蕊。#斗鸭阑干独倚，碧玉搔头斜坠。#终日望君君不至，举头闻鹊喜。,春风乍起，吹皱了一池碧水。（我）闲来无事，在花间小径里逗引池中的鸳鸯，随手折下杏花蕊把它轻轻揉碎。独自倚靠在池边的栏杆上观看斗鸭，头上的碧玉簪斜垂下来。（我）整日思念心上人，但心上人始终不见回来，（正在愁闷时），忽然听到喜鹊的叫声。,冯延巳（903--960）又名延嗣，字正中，五代广陵（今江苏省扬州市）人。在南唐做过宰相，生活过得很优裕、舒适。他的词多写闲情逸致辞，文人的气息很浓，对北宋初期的词人有比较大的影响。宋初《钓矶立谈》评其“学问渊博，文章颖发，辩说纵横”，其词集名《阳春集》。
鹊踏枝·谁道闲情抛掷久,五代,冯延巳,谁道闲情抛掷久？#每到春来，惆怅还依旧。#日日花前常病酒，敢辞镜里朱颜瘦。#河畔青芜堤上柳，为问新愁，何事年年有？#独立小桥风满袖，平林新月人归后。,谁说闲情逸致被忘记了太久？每到新春来到，我的惆怅心绪一如故旧。为了消除这种闲愁，我天天在花前痛饮，让自己放任大醉，不惜身体消瘦，对着镜子自己容颜已改。河边上芳草萋萋，河岸上柳树成荫。见到如此美景，我忧伤地暗自思量，为何年年都会新添忧愁？我独立在小桥的桥头，清风吹拂着衣袖。只有远处那一排排树木在暗淡的月光下影影绰绰，与我相伴。,冯延巳（903--960）又名延嗣，字正中，五代广陵（今江苏省扬州市）人。在南唐做过宰相，生活过得很优裕、舒适。他的词多写闲情逸致辞，文人的气息很浓，对北宋初期的词人有比较大的影响。宋初《钓矶立谈》评其“学问渊博，文章颖发，辩说纵横”，其词集名《阳春集》。
鹊踏枝·几日行云何处去,五代,冯延巳,几日行云何处去？#忘却归来，不道春将暮。#百草千花寒食路，香车系在谁家树？#泪眼倚楼频独语。#双燕来时，陌上相逢否？#撩乱春愁如柳絮，依依梦里无寻处。,这几天，他象流云飘哪里？忘了回家，不顾芳春将逝去。寒食路上长满了野草闲花。他车马又在谁家树上系?泪眼倚楼不断自言语，双燕飞来，路上可与他相遇？纷乱春愁如柳絮，梦中到哪寻他去？,冯延巳（903--960）又名延嗣，字正中，五代广陵（今江苏省扬州市）人。在南唐做过宰相，生活过得很优裕、舒适。他的词多写闲情逸致辞，文人的气息很浓，对北宋初期的词人有比较大的影响。宋初《钓矶立谈》评其“学问渊博，文章颖发，辩说纵横”，其词集名《阳春集》。
清平乐·雨晴烟晚,五代,冯延巳,雨晴烟晚。#绿水新池满。#双燕飞来垂柳院，小阁画帘高卷。#黄昏独倚朱阑。#西南新月眉弯。#砌下落花风起，罗衣特地春寒。,雨后初晴，傍晚淡烟弥漫，碧绿的春水涨满新池。双燕飞回柳树低垂的庭院，小小的阁楼里画帘高高卷起。黄昏时独自倚着朱栏，西南天空挂着一弯如眉的新月。台阶上的落花随风飞舞，罗衣显得格外寒冷。,冯延巳（903--960）又名延嗣，字正中，五代广陵（今江苏省扬州市）人。在南唐做过宰相，生活过得很优裕、舒适。他的词多写闲情逸致辞，文人的气息很浓，对北宋初期的词人有比较大的影响。宋初《钓矶立谈》评其“学问渊博，文章颖发，辩说纵横”，其词集名《阳春集》。
