MITI,NANDU,MIDI,JIESHI
昔曾有先例#人来鹊鸟飞#人一去就是三个星期#莫要大调整#一直向前莫后退,3,借,“例”字的先头是“人”，与“昔”组合，成“借”字。#“鹊”字的“鸟”飞走后，与“人”组合，成为“借”字。#“借”字的“人”去了，剩下“昔”，“昔”字可拆分成“两个十（艹）”、“一”、“日”。#将“莫”字的笔画结构进行大调整，可整成“借”字。#“向”字的前一笔是“丿”，与“直”组成“亻”；“莫”字的后半部分退去，剩下“艹曰”，与“一”合成“昔”字。
致富在于巧用才,5,拨,“致富”与“发”的字义相扣，“才”字可巧用成“扌”。
上下一条心#上下一条横#半上半下#上不是上，下不是下，上也是上，下也是下#上下一体,2,卡,“上下”二字共用“一”条作为中心。#“上下”二字共用一条横。#“卡”一半是“上”，一半是“下”。#想上上不去，想下下不来，“卡”住了。#不上不下，卡住了。
拉到娘前,1,接,“娘”字的前半部分为“女”，“拉”到“女”。
草有根，树有心#一横又一竖，别把十字猜；你若能猜中，一定是知音,2,支,“草”的根底是“十”，“树”的中心是“又”。#“一横”、“又”、“一横”。
理解万岁#鲤鱼脱网,1,里,“万岁”是最高统治者的代名词，会意为“王”。“理”字解除掉“万岁（王）”，余下“里”字。#“鲤”字的“鱼”逃脱了。
干到两点#无人作伴更宁静,1,平,“干”与“两点”组合，成为“平”字。#“伴”字无“人”，即“半”；“半”更改成为“平”字，就宁静了。
驱除魔鬼#一对枕头放床前#组合木床,3,麻,将“磨”字的“鬼”驱除掉，余下“麻”字。#“枕”字的前头是“木”，一对就是两个，即为“林”字。“床”前，取“广”。#“木床”组合在一起，即“麻”字。
演出时间待定,6,淀,“寅”，记时名词。“演”字出去“时间（寅）”后，与“定”组合，成为“淀”字。
西汉有王匡,4,汇,“汉”字的西半部分为“氵”，“匚”有“王”即“匡”。
让弟弟坐#先免一半再赔一半#哥哥不肯坐，工作争着做,3,竞,“竞”字可拆解为“兄立”。#“先”字免了一半剩下“儿”字，再用“赔”字的一半（咅）。#“哥哥”就是“兄”，“不肯坐”便是站着，站即“立”。
孟子出游乘船归#白头歃血献丹心,3,盘,“孟”字的“子”出游了，留下“皿”；“皿”字乘“船（舟）”即“盘”字。#“白头”指“白”字上面的“丿”，“歃”把“血”字吸了一点变成“皿”，“丹心”即“丹”字加“一点”。
大字去一半,5,宏,“大字去”三字各取一半出来构成“宏”字。
品茶无人把水添,6,藻,“品茶”二字去掉“人”，再添加“水”便组成“藻”字。
立刻复习#上边能飞，下边能站，今天猜不出，明天出答案,6,翌,“复习”别解为两个“习”，即“羽”字。#“翌”上边是“羽毛”，下边是“立”，“翌”意为：明（天，年）。
抛多一点变了形,2,势,“抛”字多了一点（丶），再变一下形，即成为“势”字。
一一满足方倾心#虚心求是,6,匙,将“一一”放进“足”字里，即“是”字；“倾”字的中心，为“匕”。#“虚”字中心为“七”，“七”追求到了“是”。
我有一物生得巧，半边鳞甲半边毛，半边离水难活命，半边入水命难保#海味山珍#半边有毛半边光，半边味美半边香半边吃的山上草，半边还在水里藏#两个动物并排站，一个游泳，一个吃草,3,鲜,“鲜”字一半是“鱼”，一半是“羊”。#又有“鱼”又有“羊”。#一边是“鱼”，一边是“羊”。#鱼游泳，羊吃草，大路朝天，各走两边。
红河之中#一半满，一空,2,江,“红河”二字的中间是“工氵”，合为“江”字。#“满”、“空”各取一半。
一刀刺去，鲜血点点,6,枣,“刺”字去掉挂刀旁，余下“朿”；再加上两点血，就是“枣”字。
多番复习#复习一番,3,翻,“复习”别解为两个“习”，扣“羽”，与“番”组合成“翻”字。#“复习”意为“羽”。
岁末年尾增友爱#岁末年尾爱出头,6,舜,“岁、年”二字的末尾合为“舛”，“爫冖”增加“友”字就是“爱”。#“岁”字的末端为“夕”，“年”字的尾部形似“牛”，“爱”字的头部是“爫冖”。
各立门户,5,阁,“各”立于“门”中间。
既来之，则安之#连日晚点,6,兔,“兔”字来了“之”，就是“逸”字。“逸”即“安逸”。#“兔”字加上“日”就是“晚点”。
人到鲁北行,4,衡,“鲁”字的北部，取“鱼”，与“人行”组合，成为“衡”字。
城头一片明月光#真心依旧#春日人去犹怀旧#城头一同赏日出，传来犬叫声#来日全无人,6,旺,“城”字的前头是“土”，与“一”拼成“王”字。“明月光”别解为“明”字的“月”没了，余下“日”。#“真”字中心是“三”，依靠着“旧”，便是“旺”字。#“春”字的“日、人”去掉，剩下“三”，“三”与“旧”组合，便成为“旺”字。#“城”字前头是“土”，与“一日”组成“旺”，“旺”暗示犬的叫声。#来了“日”字之后，“全”无了“人”。
有女结婚,5,昏,“昏”字有“女”，则结成“婚”。
虚心#有了白，反而黑#白加黑#放上白的，变成黑的#十字尾巴弯弯，算算数目少三#十字尾吧弯弯数数数目少三,2,七,“虚”字的中心为“七”。#“七”字有了“白”，就成为“皂”字，“皂”字义为黑色。#“白”加上“七”便是“皂”字，“皂”义为“黑”。#“七”字放上“白”字便是“皂”字，“皂”义为黑色，如“不分皂白”。#“十”少“三”等于“七”。#“十”少“三”等于“七”。
标准点#少一点为准#多一点就不准,6,淮,谜面别解为“准”字标记多“一点”。#“淮”字少了“一点”，即成为“准”字。#“准”字多一点。
醉后随口说,8,啐,“醉后”扣“卒”，“随口”即加“口”字，组合成“啐”。
前功尽弃#加工成功#加劲劳动，个个有份#点滴积累方有为,1,力,“功”字的前关部分弃掉了，余下“力”字。#“力”字加上“工”，即成为“功”字。#“加劲劳动”四字均包含有“力”的成分。#“力”字积累两点便成“为”。
今为山水伴,8,涔,“今”字有“山水”作伴。
不要出丑,1,物,地支“丑”与生肖“牛”相对应，“不要”会意为“勿”，合为“物”字。
国庆的早晨,3,坦,“国庆”就是“十一（土）”，“早晨”即“旦”。
听得净是孩子声#一点一滴总如意#一去就竞争,2,竟,“竟”，与“净”的发音相同。“竟”字可拆分为“儿音”，与谜面中的“孩子声”之意相契合。#“竟”字加上“一点一滴”就好像“意”字一样。#“竟”字去掉“一”便是“竞”字。
照着妖头就是一钉耙,6,耍,“妖”字前头为“女”，“而”以象形法扣“钉耙”。
细微变化,4,累,“微”与“小”同义。“细”与“小”字组合后，可变化为“累”字。
三人合守一方,3,吸,“及”字形似“3人”组合而成，“一方”别解为一方格（口）。
用力帮助,1,且,“且”有“力”来搭帮，成“助”字。
阶前残花朝前落,6,荫,“阶”字前半部分是“阝”；“花”字残了，余下“艹”；“朝”字的前头落了，剩下“月”；合为“荫”字。
左边加一是一千，右边减一是一千,1,任,“任”字的左边加“一”是“千”，右边减“一”就是“千”。
曰字加竖不加点#中字加横不加点,1,神,“曰”字加“竖”，即为“申”字。“不”加“点”，可看作成“礻”。#“中”字加“横”是“申”字，“不”加“点”是“礻”字旁。
惯不用心#多心成积习#内人整容，倾倒上海,4,贯,“惯”字不用“心”，余下“贯”字。#“贯”字多“心”为“惯”字，“惯”字义为“积习”。#“内”字的“人”整容，整成“贝”字；“上海”简称“申”，“申”字倾倒了。
日日雨不断#雪，一直在下，一直在下#上能浇禾苗，下能长禾苗，上下相结合，响声震山河,2,雷,“日日”合为“田”字，与“雨”组合为“雷”字。#“雪”字的下面加上两个“一直”，便是“雷”字。#“雷”字上面是“雨”，下面是“田”。
有女长大美姿容#人民币一次存入,6,羡,“羡”字有了“女、大”即可构成“美姿”二字。#“人民币”符号为“￥（Y二）”，再存入“一次”二字便构成“羡”字。
